Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,9,Spielberg,Alfa Romeo Racing,RAI,GIO,1.0,1.0,0.0,0,-1.5,permanent,0
2021,9,Spielberg,AlphaTauri,GAS,TSU,-1.0,-1.0,28.0,0,-2.0,permanent,1
2021,9,Spielberg,AlphaTauri,TSU,GAS,1.0,1.0,-28.0,0,2.0,permanent,0
2021,9,Spielberg,Ferrari,SAI,LEC,-1.0,-2.0,-8.0,0,-0.5,permanent,1
2021,9,Spielberg,Ferrari,LEC,SAI,1.0,2.0,8.0,0,0.5,permanent,0
2021,9,Spielberg,McLaren,NOR,RIC,-11.0,-11.0,52.0,0,-7.0,permanent,1
2021,9,Spielberg,McLaren,RIC,NOR,11.0,11.0,-52.0,0,7.0,permanent,0
2021,9,Spielberg,Mercedes,BOT,HAM,1.0,1.0,-63.0,0,-0.8333333333333335,permanent,1
2021,9,Spielberg,Mercedes,HAM,BOT,-1.0,-1.0,63.0,0,0.8333333333333335,permanent,0
2021,9,Spielberg,Red Bull Racing,VER,PER,-2.0,-2.0,58.0,0,-4.0,permanent,1
2021,9,Spielberg,Red Bull Racing,PER,VER,2.0,2.0,-58.0,0,4.0,permanent,0
2021,9,Spielberg,Williams,RUS,LAT,-9.0,-10.0,0.0,0,-8.0,permanent,1
2021,9,Spielberg,Williams,LAT,RUS,9.0,10.0,0.0,0,8.0,permanent,0
2021,11,Budapest,Alfa Romeo Racing,RAI,GIO,-1.0,13.0,0.0,0,-3.0,permanent,1
2021,11,Budapest,Alfa Romeo Racing,GIO,RAI,1.0,-13.0,0.0,0,3.0,permanent,0
2021,11,Budapest,AlphaTauri,GAS,TSU,-11.0,-11.0,30.0,0,1.0,permanent,1
2021,11,Budapest,AlphaTauri,TSU,GAS,11.0,11.0,-30.0,0,-1.0,permanent,0
2021,11,Budapest,Alpine,OCO,ALO,-1.0,-1.0,-8.0,0,-2.4000000000000004,permanent,1
2021,11,Budapest,Alpine,ALO,OCO,1.0,1.0,8.0,0,2.4000000000000004,permanent,0
2021,11,Budapest,Williams,LAT,RUS,1.0,1.0,0.0,0,6.9,permanent,1
2021,11,Budapest,Williams,RUS,LAT,-1.0,-1.0,0.0,0,-6.9,permanent,0
2021,12,Spa-Francorchamps,Alfa Romeo Racing,GIO,RAI,-3.0,14.0,-1.0,0,-5.0,permanent,1
2021,12,Spa-Francorchamps,Alfa Romeo Racing,RAI,GIO,3.0,-14.0,1.0,0,5.0,permanent,0
2021,12,Spa-Francorchamps,AlphaTauri,GAS,TSU,-11.0,-10.0,32.0,0,-5.333333333333332,permanent,1
2021,12,Spa-Francorchamps,AlphaTauri,TSU,GAS,11.0,10.0,-32.0,0,5.333333333333332,permanent,0
2021,12,Spa-Francorchamps,Alpine,OCO,ALO,-5.0,-4.0,5.0,0,-0.33333333333333304,permanent,1
2021,12,Spa-Francorchamps,Alpine,ALO,OCO,5.0,4.0,-5.0,0,0.33333333333333304,permanent,0
2021,12,Spa-Francorchamps,Aston Martin,VET,STR,-10.0,-14.0,16.0,0,-7.5,permanent,1
2021,12,Spa-Francorchamps,Aston Martin,STR,VET,10.0,14.0,-16.0,0,7.5,permanent,0
2021,12,Spa-Francorchamps,Ferrari,LEC,SAI,-2.0,-2.0,-13.0,0,-0.6666666666666661,permanent,1
2021,12,Spa-Francorchamps,Ferrari,SAI,LEC,2.0,2.0,13.0,0,0.6666666666666661,permanent,0
2021,12,Spa-Francorchamps,Haas F1 Team,MSC,MAZ,-2.0,-1.0,0.0,0,-0.5,permanent,1
2021,12,Spa-Francorchamps,Haas F1 Team,MAZ,MSC,2.0,1.0,0.0,0,0.5,permanent,0
2021,12,Spa-Francorchamps,McLaren,RIC,NOR,-6.0,-11.0,-61.0,0,-0.6666666666666679,permanent,1
2021,12,Spa-Francorchamps,McLaren,NOR,RIC,6.0,11.0,61.0,0,0.6666666666666679,permanent,0
2021,12,Spa-Francorchamps,Mercedes,HAM,BOT,-5.0,-10.0,75.0,0,-11.5,permanent,1
2021,12,Spa-Francorchamps,Mercedes,BOT,HAM,5.0,10.0,-75.0,0,11.5,permanent,0
2021,12,Spa-Francorchamps,Red Bull Racing,VER,PER,-6.0,1.0,77.0,0,-7.333333333333334,permanent,1
2021,12,Spa-Francorchamps,Red Bull Racing,PER,VER,6.0,-1.0,-77.0,0,7.333333333333334,permanent,0
2021,12,Spa-Francorchamps,Williams,RUS,LAT,-10.0,-8.0,-2.0,0,-10.5,permanent,1
2021,12,Spa-Francorchamps,Williams,LAT,RUS,10.0,8.0,2.0,0,10.5,permanent,0
2021,13,Zandvoort,Alpine,ALO,OCO,1.0,1.0,-11.0,0,-4.333333333333333,permanent,1
2021,13,Zandvoort,Alpine,OCO,ALO,-1.0,-1.0,11.0,0,4.333333333333333,permanent,0
2021,13,Zandvoort,Ferrari,LEC,SAI,-1.0,-1.0,-10.0,0,-3.5,permanent,1
